,ratio1,ratio2,ratio3,ratio4,ratio5,status
1857,1.13,0.79,0.08,0.21,0.03,0
1858,1.29,0.42,0.02,0.01,0.04,0
1859,1.23,1.23,0.04,0.03,0.06,0
1860,11.61,0.41,0.04,0.03,0.58,0
1861,0.6,0.57,0.04,0.04,0.3,0
1862,0.33,0.23,-0.01,-0.2,0.29,0
1863,1.04,0.65,-0.05,-2.38,-0.04,1
1864,1.14,1.14,0.07,0.29,0.03,0
1865,1.0,1.0,0.02,-0.02,0.72,0
1866,0.7,0.7,0.09,0.11,0.15,0
1867,1.1,1.02,0.05,0.66,0.03,0
1868,1.94,1.23,0.2,0.34,0.13,0
1869,1.84,1.84,0.17,0.61,0.08,0
1870,0.72,0.71,-0.03,-0.43,0.0,1
1871,1.07,1.07,0.06,0.94,0.03,0
1872,1.12,1.08,-0.06,-0.66,0.01,0
1873,1.71,0.58,0.01,0.11,0.17,0
1874,1.26,1.26,0.13,0.25,0.18,0
1875,1.64,1.35,0.04,0.05,0.01,0
1876,1.25,0.83,0.02,-0.42,0.17,0
1877,3.21,3.13,-0.02,-0.03,-0.02,0
1878,1.18,0.72,0.08,0.12,0.13,0
1879,1.03,1.03,0.04,0.17,0.04,0
1880,2.92,2.38,0.27,0.53,0.3,0
1881,1.29,0.36,0.02,-0.21,0.03,0
1882,0.48,0.42,-0.04,-1.9,-0.05,1
1883,4.16,4.16,0.05,0.06,0.39,0
1884,4.41,3.84,0.16,0.15,0.11,0
1885,0.89,0.24,0.01,0.01,0.28,0
1886,1.59,1.59,0.3,0.38,0.26,0
1887,1.82,0.32,0.02,0.0,0.1,0
1888,5.92,5.92,0.05,0.05,0.09,0
1889,1.04,0.32,-0.06,-1.88,0.03,0
1890,1.26,1.26,0.11,0.23,0.07,0
1891,1.12,1.12,0.04,0.16,0.04,0
1892,0.98,0.97,0.05,0.2,0.04,1
1893,6.47,6.22,-0.03,-0.05,0.03,0
1894,1.89,1.01,0.09,0.39,0.36,0
1895,0.72,0.48,-0.03,-0.16,-0.02,0
1896,0.61,0.58,0.13,0.33,0.37,0
1897,0.52,0.36,0.01,0.01,0.06,0
1898,2.19,2.08,0.06,0.09,0.1,0
1899,1.31,0.68,0.02,-0.03,0.01,0
1900,1.11,0.97,0.06,0.13,0.12,0
1901,0.43,0.16,-0.11,-0.27,0.04,1
1902,2.19,2.19,-0.03,-0.09,0.01,0
1903,1.31,0.54,0.05,0.4,0.05,0
1904,1.71,1.16,0.05,0.07,0.07,0
1905,1.37,0.47,0.04,0.01,0.05,1
1906,0.9,0.9,0.03,0.0,0.23,0
1907,0.5,0.34,-0.23,-1.2,-0.4,1
1908,1.2,0.22,-0.04,-1.61,0.09,0
1909,0.58,0.38,-0.06,-2.68,-0.01,1
1910,0.91,0.62,0.02,-0.02,0.04,1
1911,1.04,1.04,-0.03,-0.96,-0.01,0
1912,1.44,0.96,0.02,0.03,0.03,0
1913,4.1,2.66,0.04,0.04,0.07,0
1914,1.86,0.89,0.13,0.52,0.1,0
1915,3.64,3.64,0.02,0.01,0.03,0
1916,1.15,1.08,-0.1,-4.59,-0.04,0
1917,1.83,1.56,0.02,-0.03,0.01,0
1918,0.74,0.74,-0.01,-0.11,0.12,1
1919,0.82,0.32,0.04,0.28,0.14,0
1920,2.57,1.85,0.03,0.18,0.04,0
1921,2.39,1.71,0.06,0.01,0.07,0
1922,2.5,2.33,0.14,0.2,0.11,0
1923,0.91,0.91,-0.09,-1.16,-0.04,1
